sentence,pronoun,candidates,label
The bee landed on the flower because it had pollen.,it,"['The bee', 'the flower']",1
The bee landed on the flower because it wanted pollen.,it,"['The bee', 'the flower']",0
"When Debbie splashed Tina, she got in trouble.",she,"['Debbie', 'Tina']",0
"When Debbie splashed Tina, she got wet.",she,"['Debbie', 'Tina']",1
The bus driver yelled at a kid after she drove her vehicle.,she,"['The bus driver', 'a kid']",0
The bus driver yelled at a kid after she broke a window.,she,"['The bus driver', 'a kid']",1
Jimbo was running from Bobbert because he smelled awful.,he,"['Jimbo', 'Bobbert']",1
Jimbo was running from Bobbert because he wanted to get to the car first.,he,"['Jimbo', 'Bobbert']",0
Jimbo attacked Bobbert because he stole an elephant from the zoo.,he,"['Jimbo', 'Bobbert']",1
Jimbo attacked Bobbert because he could not control his rage.,he,"['Jimbo', 'Bobbert']",0
Jimbo was afraid of Bobbert because she gets scared around new people.,she,"['Jimbo', 'Bobbert']",0
Jimbo was afraid of Bobbert because she was running around with a bloody spear.,she,"['Jimbo', 'Bobbert']",1
The man stole the neighbor's bike because he needed one.,he,"['The man', 'the neighbor']",0
The man stole the neighbor's bike because he had one extra.,he,"['The man', 'the neighbor']",1
The bird ate the pie and it died.,it,"['The bird', 'the pie']",0
The bird ate the pie and it was ruined.,it,"['The bird', 'the pie']",1
The bird perched on the limb and it bent.,it,"['The bird', 'the limb']",1
The bird perched on the limb and it sang.,it,"['The bird', 'the limb']",0
Mary cleaned Susan's room and she was thankful.,she,"['Mary', 'Susan']",1
Mary cleaned Susan's room and she asked a favor.,she,"['Mary', 'Susan']",0
"Mary stabbed Jennifer, so John took her to the hospital.",her,"['Mary', 'Jennifer']",1
"Mary stabbed Jennifer, so John reported her to the police.",her,"['Mary', 'Jennifer']",0
Lions eat zebras because they are predators.,they,"['Lions', 'zebras']",0
Lions eat zebras because they are meaty.,they,"['Lions', 'zebras']",1
The coach criticized the player because he did not adhere to the team's formation.,he,"['The coach', 'the player']",1
The coach criticized the player because he explicitly told everyone not to break the team's formation.,he,"['The coach', 'the player']",0
The academic clubs lost their members because they were poorly funded.,they,"['The academic clubs', 'their members']",0
The academic clubs lost their members because they did not have free time.,they,"['The academic clubs', 'their members']",1
"James asked Robert for a favor, but he refused.",he,"['James', 'Robert']",1
"James asked Robert for a favor, but he was refused.",he,"['James', 'Robert']",0
The teacher did not recommend William because he was not a good student.,he,"['The teacher', 'William']",1
The teacher did not recommend William because he had high standards.,he,"['The teacher', 'William']",0
The doctor told Susan that she had cancer.,she,"['The doctor', 'Susan']",1
The doctor told Susan that she had been busy.,she,"['The doctor', 'Susan']",0
The professor grading the student's paper said that he was stupid.,he,"['The professor', 'the student']",1
The professor grading the student's paper said that he loved it.,he,"['The professor', 'the student']",0
Jeremy annoyed Justin so he can leave the room.,he,"['Jeremy', 'Justin']",1
Jeremy annoyed Justin so he can have the room.,he,"['Jeremy', 'Justin']",0
Paula liked Ness more than Pokey because he was nice to her.,he,"['Ness', 'Pokey']",0
Paula liked Ness more than Pokey because he was mean to her.,he,"['Ness', 'Pokey']",1
Rocky lost to Clubber Lang because he was not ready for the fight.,he,"['Rocky', 'Clubber Lang']",0
Rocky lost to Clubber Lang because he was ready for the fight.,he,"['Rocky', 'Clubber Lang']",1
Aaron kissed Dan because he wanted to.,he,"['Aaron', 'Dan']",0
Aaron kissed Dan because he wanted him to.,he,"['Aaron', 'Dan']",1
The students fell asleep during the professor's lectures because they were boring.,they,"['The students', ""the professor's lectures""]",1
The students fell asleep during the professor's lectures because they were bored.,they,"['The students', ""the professor's lectures""]",0
Derrick begged his boss for a raise but he did not get one.,he,"['Derrick', 'his boss']",0
Derrick begged his boss for a raise but he did not give one.,he,"['Derrick', 'his boss']",1
"The jurors deliberated on the defendants' fate for hours, but they did not reach a verdict.",they,"['The jurors', 'the defendants']",0
"The jurors deliberated on the defendants' fate for hours, but they didn't receive the death penalty.",they,"['The jurors', 'the defendants']",1
The orchestra was booed by the audience because they had performed poorly.,they,"['The orchestra', 'the audience']",0
The orchestra was booed by the audience because they had expected a rock band.,they,"['The orchestra', 'the audience']",1
Jacob gave William money because he needed some.,he,"['Jacob', 'William']",1
Jacob gave William money because he sold the car.,he,"['Jacob', 'William']",0
Alexandra told Kelly not to get a tattoo because she raised her conservatively.,she,"['Alexandra', 'Kelly']",0
Alexandra told Kelly not to get a tattoo because she would seem unprofessional.,she,"['Alexandra', 'Kelly']",1
"Olivia tried to counsel Emily, but she was not interested.",she,"['Olivia', 'Emily']",1
"Olivia tried to counsel Emily, but she was rejected.",she,"['Olivia', 'Emily']",0
James went to Sully's arcade and he asked for tickets.,he,"['James', 'Sully']",0
James went to Sully's arcade but he refused to let him in.,he,"['James', 'Sully']",1
"Kurt flew in Alex's plane, and he thanked him.",he,"['Kurt', 'Alex']",0
"Kurt flew in Alex's plane, and he asked him to come again.",he,"['Kurt', 'Alex']",1
"Bill was robbed by John, so the officer arrested him.",him,"['Bill', 'John']",1
"Bill was robbed by John, so the officer helped him.",him,"['Bill', 'John']",0
He put snow on the smiley face because it was wet.,it,"['snow', 'the smiley face']",0
He put snow on the smiley face because it was dry.,it,"['snow', 'the smiley face']",1
The kitten played with the yarn because it was fun.,it,"['The kitten', 'the yarn']",1
The kitten played with the yarn because it was bored.,it,"['The kitten', 'the yarn']",0
I chopped down the tree with my axe because it was tall.,it,"['the tree', 'my axe']",0
I chopped down the tree with my axe because it was sharp.,it,"['the tree', 'my axe']",1
Spiderman defeated Magnito because he is a good guy.,he,"['Spiderman', 'Magnito']",0
Spiderman defeated Magnito because he is a bad guy.,he,"['Spiderman', 'Magnito']",1
The citizens rebelled against the government because they were being repressed.,they,"['The citizens', 'the government']",0
The citizens rebelled against the government because they were being mean.,they,"['The citizens', 'the government']",1
Cats are smarter than dogs because they always land on their feet.,they,"['Cats', 'dogs']",0
Cats are smarter than dogs because they bark for no reason.,they,"['Cats', 'dogs']",1
The ball hit the window and Bill repaired it.,it,"['The ball', 'the window']",1
The ball hit the window and Bill caught it.,it,"['The ball', 'the window']",0
Robert fired Chris because he couldn't do the job.,he,"['Robert', 'Chris']",1
Robert fired Chris because he no longer needed workers.,he,"['Robert', 'Chris']",0
Steve scratched Johnny because he was angry.,he,"['Steve', 'Johnny']",0
Steve scratched Johnny so he became angry.,he,"['Steve', 'Johnny']",1
The youth outran the old man because he was in shape.,he,"['The youth', 'the old man']",0
The youth outran the old man because he broke his hip.,he,"['The youth', 'the old man']",1
Video games are outselling movies because they are fun to play.,they,"['Video games', 'movies']",0
Video games are outselling movies because they are an old medium.,they,"['Video games', 'movies']",1
Google bought Motorola because they want its customer base.,they,"['Google', 'Motorola']",0
Google bought Motorola because they were bankrupt.,they,"['Google', 'Motorola']",1
Sam cheated Sally but she did not cry.,she,"['Sally', 'Sam']",0
Sam cheated Sally but she did not repent.,she,"['Sally', 'Sam']",1
Keith fired Blaine but he did not regret.,he,"['Keith', 'Blaine']",0
Keith fired Blaine even though he is diligent.,he,"['Keith', 'Blaine']",1
The storm delayed the flight as it was very dangerous.,it,"['The storm', 'the flight']",0
The storm delayed the flight as it was going over the ocean.,it,"['The storm', 'the flight']",1
John flicked Bill because he saw a fly on his shirt.,he,"['John', 'Bill']",0
John flicked Bill because he had a fly on his shirt.,he,"['John', 'Bill']",1
The zombies chased the survivors because they were hungry.,they,"['The zombies', 'the survivors']",0
The zombies chased the survivors because they were tasty.,they,"['The zombies', 'the survivors']",1
Medvedev will cede the presidency to Putin because he is more popular.,he,"['Medvedev', 'Putin']",1
Medvedev will cede the presidency to Putin because he is less popular.,he,"['Medvedev', 'Putin']",0
The master rewarded the dog because he was a good owner.,he,"['The master', 'the dog']",0
The master rewarded the dog because he was a good companion.,he,"['The master', 'the dog']",1
The cat broke the glass because it was fragile.,it,"['The cat', 'the glass']",1
The cat broke the glass because it was clumsy.,it,"['The cat', 'the glass']",0
